player_name,opinion_added_score,just_data_score,age,age_classification,years_exp,exp_classification,weight,weight_classification,draft_pick,draft_classification,snap_pct,snap_pct_classification,carries,carries_classification,receptions,receptions_classification,touches,touches_classification,opinion_talent,opinion_feeling
Jonathan Taylor IND ,2.45,2.1875,24,2,3,2,226,2,41,2.5,71%,2.5,268,2.5,32,1,300,3,5,2
Saquon Barkley NYG ,2.5,2.125,26,2,5,2,232,1.5,2,3,80%,3,235,1.5,54,2,289,2,6,2
Josh Jacobs LV ,2.4,2.125,25,2,4,2,223,2,24,2,74%,2.5,259,2.5,42,1,301,3,5,2
Derrick Henry TEN ,2.45,2.0625,29,1,7,1.5,247,1.5,45,2.5,67%,2.5,317,3.5,32,1,349,3,6,2
Joe Mixon CIN ,1.85,1.9375,27,1.5,6,1.5,220,2,48,2.5,65%,2.5,202,1.5,49,2,251,2,3,0
Bijan Robinson ATL ,2.5,1.928571429,21,1,0,2,215,2,8,3,,NULL,247,1.5,50,2,297,2,6,3
Christian McCaffrey SF ,2.25,1.8125,27,1.5,6,1.5,205,1.5,8,3,74%,2.5,194,0,69,2.5,263,2,6,2
Najee Harris PIT ,1.75,1.8125,25,2,2,2,242,1.5,24,2,66%,2.5,242,1.5,43,1,285,2,3,0
Nick Chubb CLE ,2.2,1.75,27,1.5,5,2,227,2,35,2.5,56%,1.5,262,2.5,30,0,292,2,6,2
Travis Etienne Jr. JAC ,2.1,1.75,24,2,2,2,215,2,25,2,59%,1.5,215,1.5,40,1,255,2,5,2
Kenneth Walker III SEA ,2.166666667,1.642857143,22,1.5,1,2,211,2,41,2.5,,NULL,220,1.5,30,0,250,2,6,2
Miles Sanders CAR ,1.722222222,1.642857143,26,2,4,2,210,2,53,1,,NULL,216,1.5,36,1,252,2,3,1
Dameon Pierce HOU ,2.111111111,1.571428571,23,2,1,2,218,2,107,0.5,,NULL,227,1.5,37,1,264,2,5,3
Rachaad White TB ,1.555555556,1.571428571,24,2,1,2,214,2,91,0.5,,NULL,217,1.5,44,1,261,2,3,0
Javonte Williams DEN ,2.166666667,1.5,23,2,2,2,220,2,35,2.5,,NULL,175,0,41,1,216,1,6,3
Tony Pollard DAL ,2.1,1.5,26,2,4,2,209,1.5,128,0.5,52%,1.5,245,1.5,39,1,284,2,6,3
Rhamondre Stevenson NE ,1.9,1.5,25,2,2,2,227,2,120,0.5,67%,2.5,194,0,49,2,243,1,5,2
Jahmyr Gibbs DET ,1.722222222,1.5,21,1,0,2,200,1.5,12,3,,NULL,171,0,48,2,219,1,4,1
Cam Akers LAR ,1.611111111,1.5,24,2,2,2,217,2,52,1,,NULL,207,1.5,33,1,240,1,3,1
Alvin Kamara NO ,1.85,1.4375,28,1,6,1.5,215,2,67,1.5,70%,2.5,157,0,49,2,206,1,5,2
Breece Hall NYJ ,2.111111111,1.428571429,22,1.5,1,2,220,2,36,2.5,,NULL,173,0,44,1,217,1,6,3
D'Andre Swift PHI ,1.666666667,1.428571429,24,2,3,2,215,2,35,2.5,,NULL,115,0,36,1,151,0.5,4,1
Alexander Mattison MIN ,1.444444444,1.428571429,25,2,4,2,215,2,102,0.5,,NULL,212,1.5,35,1,247,1,3,0
Austin Ekeler LAC ,1.8,1.375,28,1,6,1.5,200,1.5,Undrafted,0,62%,2.5,193,0,67,2.5,260,2,5,2
David Montgomery DET ,1.722222222,1.357142857,26,2,4,2,224,2,73,1.5,,NULL,194,0,36,1,230,1,3,3
