schedule_date,season_year,week_number,HT_season_record_OU,HT_season_record_AS,HT_season_record_SU,team_home,home_score,away_score,team_away,AT_season_record_SU,AT_season_record_AS,AT_season_record_OU,team_favorite_id,favorite_spread,over_under_total,home_SU,away_SU,home_AS,away_AS,OU_result,stadium,stadium_neutral,weather_detail,temperature,wind_mph,humidity,fav_home_away,HT_season_wins_SU,HT_season_losses_SU,HT_season_ties_SU,HT_season_wins_AS,HT_season_losses_AS,HT_season_pushes_AS,AT_season_losses_AS,AT_season_pushes_AS,AT_season_wins_AS,AT_season_wins_SU,AT_season_losses_SU,AT_season_ties_SU,HT_season_overs,HT_season_unders,HT_season_pushes_OU,AT_season_overs,AT_season_unders,AT_season_pushes_OU
9/1/1979,1979,1,0-0-0,0-0-0,0-0-0,Tampa Bay Buccaneers,31,16,Detroit Lions,0-0-0,0-0-0,0-0-0,TB,-3,30,Win,Loss,Win,Loss,Over,Houlihan's Stadium,FALSE,,79,9,87,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Buffalo Bills,7,9,Miami Dolphins,0-0-0,0-0-0,0-0-0,MIA,-5,39,Loss,Win,Win,Loss,Under,Ralph Wilson Stadium,FALSE,,74,15,74,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Chicago Bears,6,3,Green Bay Packers,0-0-0,0-0-0,0-0-0,CHI,-3,31,Win,Loss,Push,Push,Under,Soldier Field,FALSE,,78,11,68,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Denver Broncos,10,0,Cincinnati Bengals,0-0-0,0-0-0,0-0-0,DEN,-3,31.5,Win,Loss,Win,Loss,Under,Mile High Stadium,FALSE,,69,6,38,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Kansas City Chiefs,14,0,Baltimore Colts,0-0-0,0-0-0,0-0-0,KC,-1,37,Win,Loss,Win,Loss,Under,Arrowhead Stadium,FALSE,,76,8,71,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Los Angeles Rams,17,24,Oakland Raiders,0-0-0,0-0-0,0-0-0,LAR,-4,36.5,Loss,Win,Loss,Win,Over,Anaheim Stadium,FALSE,,70,10,77,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Minnesota Vikings,28,22,San Francisco 49ers,0-0-0,0-0-0,0-0-0,MIN,-7,32,Win,Loss,Loss,Win,Over,Metropolitan Stadium,FALSE,,70,11,67,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,New Orleans Saints,34,40,Atlanta Falcons,0-0-0,0-0-0,0-0-0,NO,-5,32,Loss,Win,Loss,Win,Over,Louisiana Superdome,FALSE,indoor,72,0,0,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,New York Jets,22,25,Cleveland Browns,0-0-0,0-0-0,0-0-0,NYJ,-2,41,Loss,Win,Loss,Win,Over,Giants Stadium,FALSE,,73,10,76,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/1979,1979,1,0-0-0,0-0-0,0-0-0,Philadelphia Eagles,23,17,New York Giants,0-0-0,0-0-0,0-0-0,PHI,-7,31.5,Win,Loss,Loss,Win,Over,Veterans Stadium,FALSE,,76,9,84,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
