Store,Date,Weekly Sales,Weekly Sales - Ave.,Holiday Flag,Temperature,Temp - Ave.,Fuel Price,Fuel Price - Ave.,CPI,CPI - Ave.,Unemployment,Unemployment - Ave.,Day,Month,Year
1,2010-02-05,"$1,643,690.90","$88,426.50",0,42.31,-26.00,2.572,-0.648,211.0963582,-4.9005336,8.106,0.496,05,02,2010
1,2010-02-12,"$1,641,957.44","$86,693.04",1,38.51,-29.80,2.548,-0.672,211.2421698,-4.7547220,8.106,0.496,12,02,2010
1,2010-02-19,"$1,611,968.17","$56,703.77",0,39.93,-28.38,2.514,-0.706,211.2891429,-4.7077489,8.106,0.496,19,02,2010
1,2010-02-26,"$1,409,727.59","-$145,536.81",0,46.63,-21.68,2.561,-0.659,211.3196429,-4.6772489,8.106,0.496,26,02,2010
1,2010-03-05,"$1,554,806.68",-$457.72,0,46.5,-21.81,2.625,-0.595,211.3501429,-4.6467489,8.106,0.496,05,03,2010
1,2010-03-12,"$1,439,541.59","-$115,722.81",0,57.79,-10.52,2.667,-0.553,211.3806429,-4.6162489,8.106,0.496,12,03,2010
1,2010-03-19,"$1,472,515.79","-$82,748.61",0,54.58,-13.73,2.72,-0.500,211.215635,-4.7812568,8.106,0.496,19,03,2010
1,2010-03-26,"$1,404,429.92","-$150,834.48",0,51.45,-16.86,2.732,-0.488,211.0180424,-4.9788494,8.106,0.496,26,03,2010
1,2010-04-02,"$1,594,968.28","$39,703.88",0,62.27,-6.04,2.719,-0.501,210.8204499,-5.1764419,7.808,0.198,02,04,2010
1,2010-04-09,"$1,545,418.53","-$9,845.87",0,65.86,-2.45,2.77,-0.450,210.6228574,-5.3740344,7.808,0.198,09,04,2010
1,2010-04-16,"$1,466,058.28","-$89,206.12",0,66.32,-1.99,2.808,-0.412,210.4887,-5.5081918,7.808,0.198,16,04,2010
1,2010-04-23,"$1,391,256.12","-$164,008.28",0,64.84,-3.47,2.795,-0.425,210.4391228,-5.5577690,7.808,0.198,23,04,2010
1,2010-04-30,"$1,425,100.71","-$130,163.69",0,67.41,-0.90,2.78,-0.440,210.3895456,-5.6073462,7.808,0.198,30,04,2010
1,2010-05-07,"$1,603,955.12","$48,690.72",0,72.55,4.24,2.835,-0.385,210.3399684,-5.6569234,7.808,0.198,07,05,2010
1,2010-05-14,"$1,494,251.50","-$61,012.90",0,74.78,6.47,2.854,-0.366,210.3374261,-5.6594657,7.808,0.198,14,05,2010
1,2010-05-21,"$1,399,662.07","-$155,602.33",0,76.44,8.13,2.826,-0.394,210.6170934,-5.3797984,7.808,0.198,21,05,2010
1,2010-05-28,"$1,432,069.95","-$123,194.45",0,80.44,12.13,2.759,-0.461,210.8967606,-5.1001312,7.808,0.198,28,05,2010
1,2010-06-04,"$1,615,524.71","$60,260.31",0,80.69,12.38,2.705,-0.515,211.1764278,-4.8204640,7.808,0.198,04,06,2010
1,2010-06-11,"$1,542,561.09","-$12,703.31",0,80.43,12.12,2.668,-0.552,211.4560951,-4.5407967,7.808,0.198,11,06,2010
1,2010-06-18,"$1,503,284.06","-$51,980.34",0,84.11,15.80,2.637,-0.583,211.4537719,-4.5431199,7.808,0.198,18,06,2010
1,2010-06-25,"$1,422,711.60","-$132,552.80",0,84.34,16.03,2.653,-0.567,211.3386526,-4.6582392,7.808,0.198,25,06,2010
1,2010-07-02,"$1,492,418.14","-$62,846.26",0,80.91,12.60,2.669,-0.551,211.2235333,-4.7733585,7.787,0.177,02,07,2010
1,2010-07-09,"$1,546,074.18","-$9,190.22",0,80.48,12.17,2.642,-0.578,211.108414,-4.8884778,7.787,0.177,09,07,2010
1,2010-07-16,"$1,448,938.92","-$106,325.48",0,83.15,14.84,2.623,-0.597,211.1003854,-4.8965064,7.787,0.177,16,07,2010
1,2010-07-23,"$1,385,065.20","-$170,199.20",0,83.36,15.05,2.608,-0.612,211.2351443,-4.7617475,7.787,0.177,23,07,2010
1,2010-07-30,"$1,371,986.60","-$183,277.80",0,81.84,13.53,2.64,-0.580,211.3699032,-4.6269886,7.787,0.177,30,07,2010
1,2010-08-06,"$1,605,491.78","$50,227.38",0,87.16,18.85,2.627,-0.593,211.5046621,-4.4922297,7.787,0.177,06,08,2010
1,2010-08-13,"$1,508,237.76","-$47,026.64",0,87,18.69,2.692,-0.528,211.6394211,-4.3574707,7.787,0.177,13,08,2010
1,2010-08-20,"$1,513,080.49","-$42,183.91",0,86.65,18.34,2.664,-0.556,211.6033633,-4.3935285,7.787,0.177,20,08,2010
1,2010-08-27,"$1,449,142.92","-$106,121.48",0,85.22,16.91,2.619,-0.601,211.5673056,-4.4295862,7.787,0.177,27,08,2010
1,2010-09-03,"$1,540,163.53","-$15,100.87",0,81.21,12.90,2.577,-0.643,211.5312479,-4.4656439,7.787,0.177,03,09,2010
1,2010-09-10,"$1,507,460.69","-$47,803.71",1,78.69,10.38,2.565,-0.655,211.4951902,-4.5017016,7.787,0.177,10,09,2010
1,2010-09-17,"$1,430,378.67","-$124,885.73",0,82.11,13.80,2.582,-0.638,211.5224596,-4.4744322,7.787,0.177,17,09,2010
1,2010-09-24,"$1,351,791.03","-$203,473.37",0,80.94,12.63,2.624,-0.596,211.5972246,-4.3996672,7.787,0.177,24,09,2010
1,2010-10-01,"$1,453,329.50","-$101,934.90",0,71.89,3.58,2.603,-0.617,211.6719895,-4.3249023,7.838,0.228,01,10,2010
1,2010-10-08,"$1,508,239.93","-$47,024.47",0,63.93,-4.38,2.633,-0.587,211.7467544,-4.2501374,7.838,0.228,08,10,2010
1,2010-10-15,"$1,459,409.10","-$95,855.30",0,67.18,-1.13,2.72,-0.500,211.8137436,-4.1831482,7.838,0.228,15,10,2010
1,2010-10-22,"$1,345,454.00","-$209,810.40",0,69.86,1.55,2.725,-0.495,211.8612937,-4.1355981,7.838,0.228,22,10,2010
1,2010-10-29,"$1,384,209.22","-$171,055.18",0,69.64,1.33,2.716,-0.504,211.9088438,-4.0880480,7.838,0.228,29,10,2010
1,2010-11-05,"$1,551,659.28","-$3,605.12",0,58.74,-9.57,2.689,-0.531,211.9563939,-4.0404979,7.838,0.228,05,11,2010
1,2010-11-12,"$1,494,479.49","-$60,784.91",0,59.61,-8.70,2.728,-0.492,212.003944,-3.9929478,7.838,0.228,12,11,2010
1,2010-11-19,"$1,483,784.18","-$71,480.22",0,51.41,-16.90,2.771,-0.449,211.8896737,-4.1072181,7.838,0.228,19,11,2010
1,2010-11-26,"$1,955,624.11","$400,359.71",1,64.52,-3.79,2.735,-0.485,211.7484333,-4.2484585,7.838,0.228,26,11,2010
1,2010-12-03,"$1,548,033.78","-$7,230.62",0,49.27,-19.04,2.708,-0.512,211.607193,-4.3896988,7.838,0.228,03,12,2010
1,2010-12-10,"$1,682,614.26","$127,349.86",0,46.33,-21.98,2.843,-0.377,211.4659526,-4.5309392,7.838,0.228,10,12,2010
1,2010-12-17,"$1,891,034.93","$335,770.53",0,49.84,-18.47,2.869,-0.351,211.4053124,-4.5915794,7.838,0.228,17,12,2010
1,2010-12-24,"$2,387,950.20","$832,685.80",0,52.33,-15.98,2.886,-0.334,211.4051222,-4.5917696,7.838,0.228,24,12,2010
1,2010-12-31,"$1,367,320.01","-$187,944.39",1,48.43,-19.88,2.943,-0.277,211.4049321,-4.5919597,7.838,0.228,31,12,2010
1,2011-01-07,"$1,444,732.28","-$110,532.12",0,48.27,-20.04,2.976,-0.244,211.4047419,-4.5921499,7.742,0.132,07,01,2011
1,2011-01-14,"$1,391,013.96","-$164,250.44",0,35.4,-32.91,2.983,-0.237,211.4574109,-4.5394809,7.742,0.132,14,01,2011
